,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
55,2015,3,shanghai,hulkenberg,German,force_india,16,20,6,0,9,7,0,7,3.4340000000000117,27,-0.07399999999998386
49,2015,3,shanghai,button,British,mclaren,17,14,0,0,16,0,0,9,3.494000000000014,35,0.060000000000002274
47,2015,3,shanghai,alonso,Spanish,mclaren,18,12,0,0,20,0,0,9,3.4980000000000047,33,0.003999999999990678
50,2015,3,shanghai,stevens,British,manor,19,15,0,0,21,0,0,10,6.309000000000012,23,2.811000000000007
51,2015,3,shanghai,merhi,Spanish,manor,20,16,0,0,17,0,0,10,7.060000000000002,24,0.7509999999999906
56,2015,4,bahrain,hamilton,British,mercedes,1,1,68,2,1,119,2,1,0.0,30,
60,2015,4,bahrain,vettel,German,ferrari,2,5,55,1,2,79,1,2,0.41100000000000136,27,0.41100000000000136
58,2015,4,bahrain,rosberg,German,mercedes,3,3,51,0,3,119,2,1,0.5579999999999927,29,0.14699999999999136
57,2015,4,bahrain,raikkonen,Finnish,ferrari,4,2,24,0,5,79,1,2,0.6560000000000059,35,0.09800000000001319
59,2015,4,bahrain,bottas,Finnish,williams,5,4,18,0,6,48,0,3,0.8100000000000023,25,0.15399999999999636
65,2015,4,bahrain,massa,Brazilian,williams,6,10,30,0,4,48,0,3,1.1730000000000018,33,0.36299999999999955
61,2015,4,bahrain,ricciardo,Australian,red_bull,7,6,11,0,8,13,0,5,1.2609999999999957,25,0.08799999999999386
68,2015,4,bahrain,hulkenberg,German,force_india,8,13,6,0,10,7,0,7,1.8790000000000049,27,0.6180000000000092
74,2015,4,bahrain,sainz,Spanish,toro_rosso,9,19,6,0,12,12,0,6,1.8910000000000053,20,0.012000000000000455
62,2015,4,bahrain,grosjean,French,lotus_f1,10,7,6,0,9,6,0,8,1.913000000000011,29,0.02200000000000557
63,2015,4,bahrain,perez,Mexican,force_india,11,8,1,0,15,7,0,7,2.1330000000000098,25,0.21999999999999886
67,2015,4,bahrain,nasr,Brazilian,sauber,12,12,14,0,7,19,0,4,2.165999999999997,22,0.03299999999998704
69,2015,4,bahrain,ericsson,Swedish,sauber,13,14,5,0,13,19,0,4,2.462999999999994,24,0.29699999999999704
66,2015,4,bahrain,alonso,Spanish,mclaren,14,11,0,0,17,0,0,9,2.4680000000000035,33,0.005000000000009663
73,2015,4,bahrain,max_verstappen,Dutch,toro_rosso,15,18,6,0,11,12,0,6,2.5320000000000107,17,0.06400000000000716
70,2015,4,bahrain,maldonado,Venezuelan,lotus_f1,16,15,0,0,20,6,0,8,3.1059999999999945,30,0.5739999999999839
64,2015,4,bahrain,kvyat,Russian,red_bull,17,9,2,0,14,13,0,5,3.228999999999999,20,0.12300000000000466
71,2015,4,bahrain,stevens,British,manor,18,16,0,0,19,0,0,10,6.141999999999996,23,2.9129999999999967
72,2015,4,bahrain,merhi,Spanish,manor,19,17,0,0,18,0,0,10,7.1510000000000105,24,1.0090000000000146
76,2015,5,catalunya,rosberg,German,mercedes,1,1,66,0,2,159,3,1,0.0,29,
77,2015,5,catalunya,hamilton,British,mercedes,2,2,93,3,1,159,3,1,0.2670000000000101,30,0.2670000000000101
78,2015,5,catalunya,vettel,German,ferrari,3,3,65,1,3,107,1,2,0.777000000000001,27,0.5099999999999909
79,2015,5,catalunya,bottas,Finnish,williams,4,4,30,0,6,61,0,3,1.0130000000000052,25,0.2360000000000042
84,2015,5,catalunya,sainz,Spanish,toro_rosso,5,9,6,0,12,12,0,7,1.4549999999999983,20,0.44199999999999307
86,2015,5,catalunya,max_verstappen,Dutch,toro_rosso,6,11,6,0,11,12,0,7,1.5679999999999978,17,0.11299999999999955
80,2015,5,catalunya,raikkonen,Finnish,ferrari,7,5,42,0,4,107,1,2,1.733000000000004,35,0.16500000000000625
85,2015,5,catalunya,kvyat,Russian,red_bull,8,10,4,0,15,23,0,4,1.9480000000000075,21,0.2150000000000034
