,season,round,circuit_id,driver,nationality,constructor,grid,podium,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,qualifying_time_diff
765,2016,19,rodriguez,vettel,German,ferrari,7,5,177,0,4,347,0,3,0.6769999999999925,29,0.0049999999999954525
768,2016,19,rodriguez,bottas,Finnish,williams,8,8,81,0,8,130,0,5,0.8469999999999942,27,0.1700000000000017
769,2016,19,rodriguez,massa,Brazilian,williams,9,9,49,0,11,130,0,5,1.3279999999999887,35,0.48099999999999454
776,2016,19,rodriguez,sainz,Spanish,toro_rosso,10,16,38,0,12,55,0,7,1.6739999999999924,22,0.34600000000000364
773,2016,19,rodriguez,alonso,Spanish,mclaren,11,13,52,0,10,74,0,6,1.5779999999999887,35,-0.09600000000000364
770,2016,19,rodriguez,perez,Mexican,force_india,12,10,84,0,7,138,0,4,1.5829999999999984,26,0.005000000000009663
772,2016,19,rodriguez,button,British,mclaren,13,12,21,0,15,74,0,6,1.968999999999994,36,0.3859999999999957
777,2016,19,rodriguez,kevin_magnussen,Danish,renault,14,17,7,0,16,8,0,9,2.4269999999999925,24,0.4579999999999984
771,2016,19,rodriguez,ericsson,Swedish,sauber,15,11,0,0,21,0,0,11,2.8319999999999936,26,0.40500000000000114
781,2016,19,rodriguez,wehrlein,German,manor,16,22,1,0,18,1,0,10,3.080999999999989,22,0.24899999999999523
779,2016,19,rodriguez,gutierrez,Mexican,haas,17,19,0,0,20,29,0,8,2.6969999999999885,25,-0.38400000000000034
778,2016,19,rodriguez,kvyat,Russian,toro_rosso,18,18,25,0,14,55,0,7,2.75,22,0.05300000000001148
775,2016,19,rodriguez,nasr,Brazilian,sauber,19,15,0,0,22,0,0,11,2.9879999999999995,24,0.23799999999999955
780,2016,19,rodriguez,ocon,French,manor,20,21,0,0,24,1,0,10,3.1769999999999925,20,0.18899999999999295
782,2016,20,interlagos,hamilton,British,mercedes,1,1,330,8,2,679,17,1,0.0,31,
783,2016,20,interlagos,rosberg,German,mercedes,2,2,349,9,1,679,17,1,0.10199999999998965,31,0.10199999999998965
801,2016,20,interlagos,raikkonen,Finnish,ferrari,3,20,178,0,5,365,0,3,0.6679999999999922,37,0.5660000000000025
784,2016,20,interlagos,max_verstappen,Dutch,red_bull,4,3,177,1,6,427,2,2,0.7489999999999952,19,0.08100000000000307
786,2016,20,interlagos,vettel,German,ferrari,5,5,187,0,4,365,0,3,0.7590000000000003,29,0.010000000000005116
789,2016,20,interlagos,ricciardo,Australian,red_bull,6,8,242,1,3,427,2,2,0.8039999999999878,27,0.044999999999987494
803,2016,20,interlagos,grosjean,French,haas,7,22,29,0,13,29,0,8,1.2009999999999934,30,0.39700000000000557
788,2016,20,interlagos,hulkenberg,German,force_india,8,7,60,0,9,145,0,4,1.367999999999995,29,0.1670000000000016
785,2016,20,interlagos,perez,Mexican,force_india,9,4,85,0,7,145,0,4,1.4289999999999878,26,0.06099999999999284
791,2016,20,interlagos,alonso,Spanish,mclaren,10,10,52,0,10,74,0,6,1.5300000000000011,35,0.1010000000000133
792,2016,20,interlagos,bottas,Finnish,williams,11,11,85,0,8,136,0,5,1.6839999999999975,27,0.15399999999999636
798,2016,20,interlagos,gutierrez,Mexican,haas,12,17,0,0,20,29,0,8,1.6949999999999932,25,0.01099999999999568
799,2016,20,interlagos,massa,Brazilian,williams,13,18,51,0,11,136,0,5,1.7849999999999966,35,0.09000000000000341
794,2016,20,interlagos,kvyat,Russian,toro_rosso,14,13,25,0,14,55,0,7,1.9899999999999949,22,0.2049999999999983
787,2016,20,interlagos,sainz,Spanish,toro_rosso,15,6,38,0,12,55,0,7,2.1839999999999975,22,0.19400000000000261
800,2016,20,interlagos,jolyon_palmer,British,renault,16,19,1,0,17,8,0,9,2.5219999999999914,25,0.33799999999999386
797,2016,20,interlagos,button,British,mclaren,17,16,21,0,15,74,0,6,2.539999999999992,36,0.018000000000000682
795,2016,20,interlagos,kevin_magnussen,Danish,renault,18,14,7,0,16,8,0,9,2.6739999999999924,24,0.13400000000000034
796,2016,20,interlagos,wehrlein,German,manor,19,15,1,0,18,1,0,10,2.6909999999999883,22,0.016999999999995907
802,2016,20,interlagos,ericsson,Swedish,sauber,20,21,0,0,21,0,0,11,2.8870000000000005,26,0.19600000000001216
790,2016,20,interlagos,nasr,Brazilian,sauber,21,9,0,0,22,0,0,11,2.944999999999993,24,0.057999999999992724
793,2016,20,interlagos,ocon,French,manor,22,12,0,0,24,1,0,10,2.695999999999998,20,-0.24899999999999523
804,2016,21,yas_marina,hamilton,British,mercedes,1,1,355,9,2,722,18,1,0.0,31,
805,2016,21,yas_marina,rosberg,German,mercedes,2,2,367,9,1,722,18,1,0.30299999999999727,31,0.30299999999999727
808,2016,21,yas_marina,ricciardo,Australian,red_bull,3,5,246,1,3,446,2,2,0.8340000000000032,27,0.5310000000000059
809,2016,21,yas_marina,raikkonen,Finnish,ferrari,4,6,178,0,6,375,0,3,0.8490000000000038,37,0.015000000000000568
806,2016,21,yas_marina,vettel,German,ferrari,5,3,197,0,4,375,0,3,0.9060000000000059,29,0.05700000000000216
807,2016,21,yas_marina,max_verstappen,Dutch,red_bull,6,4,192,1,5,446,2,2,1.0630000000000024,19,0.15699999999999648
810,2016,21,yas_marina,hulkenberg,German,force_india,7,7,66,0,9,163,0,4,1.7460000000000093,29,0.6830000000000069
811,2016,21,yas_marina,perez,Mexican,force_india,8,8,97,0,7,163,0,4,1.76400000000001,26,0.018000000000000682
813,2016,21,yas_marina,alonso,Spanish,mclaren,9,10,53,0,10,75,0,6,2.350999999999999,35,0.5869999999999891
812,2016,21,yas_marina,massa,Brazilian,williams,10,9,51,0,11,136,0,5,2.4579999999999984,35,0.10699999999999932
824,2016,21,yas_marina,bottas,Finnish,williams,11,21,85,0,8,136,0,5,2.3290000000000077,27,-0.12899999999999068
823,2016,21,yas_marina,button,British,mclaren,12,20,21,0,15,75,0,6,2.516999999999996,36,0.18799999999998818
815,2016,21,yas_marina,gutierrez,Mexican,haas,13,12,0,0,21,29,0,8,2.7249999999999943,25,0.2079999999999984
814,2016,21,yas_marina,grosjean,French,haas,14,11,29,0,13,29,0,8,2.8089999999999975,30,0.08400000000000318
820,2016,21,yas_marina,jolyon_palmer,British,renault,15,17,1,0,18,8,0,9,3.0649999999999977,25,0.2560000000000002
817,2016,21,yas_marina,wehrlein,German,manor,16,14,1,0,19,1,0,11,3.240000000000009,22,0.17500000000001137
822,2016,21,yas_marina,kvyat,Russian,toro_rosso,17,19,25,0,14,63,0,7,3.2480000000000047,22,0.007999999999995566
825,2016,21,yas_marina,kevin_magnussen,Danish,renault,18,22,7,0,16,8,0,9,3.3870000000000005,24,0.1389999999999958
819,2016,21,yas_marina,nasr,Brazilian,sauber,19,16,2,0,17,2,0,10,3.4920000000000044,24,0.10500000000000398
816,2016,21,yas_marina,ocon,French,manor,20,13,0,0,23,1,0,11,3.531000000000006,20,0.03900000000000148
821,2016,21,yas_marina,sainz,Spanish,toro_rosso,21,18,46,0,12,63,0,7,3.6380000000000052,22,0.10699999999999932
818,2016,21,yas_marina,ericsson,Swedish,sauber,22,15,0,0,22,2,0,10,3.882000000000005,26,0.24399999999999977
827,2017,1,albert_park,hamilton,British,mercedes,1,2,0,0,0,0,0,0,0.0,32,
826,2017,1,albert_park,vettel,German,ferrari,2,1,0,0,0,0,0,0,0.2680000000000007,29,0.2680000000000007
828,2017,1,albert_park,bottas,Finnish,mercedes,3,3,0,0,0,0,0,0,0.29299999999999216,27,0.024999999999991473
829,2017,1,albert_park,raikkonen,Finnish,ferrari,4,4,0,0,0,0,0,0,0.8449999999999989,37,0.5520000000000067
830,2017,1,albert_park,max_verstappen,Dutch,red_bull,5,5,0,0,0,0,0,0,1.296999999999997,19,0.4519999999999982
844,2017,1,albert_park,grosjean,French,haas,6,20,0,0,0,0,0,0,1.8859999999999957,30,0.5889999999999986
831,2017,1,albert_park,massa,Brazilian,williams,7,6,0,0,0,0,0,0,2.2549999999999955,35,0.3689999999999998
833,2017,1,albert_park,sainz,Spanish,toro_rosso,8,8,0,0,0,0,0,0,2.2989999999999924,22,0.04399999999999693
834,2017,1,albert_park,kvyat,Russian,toro_rosso,9,9,0,0,0,0,0,0,2.323999999999998,22,0.025000000000005684
832,2017,1,albert_park,perez,Mexican,force_india,10,7,0,0,0,0,0,0,2.8930000000000007,27,0.5690000000000026
836,2017,1,albert_park,hulkenberg,German,renault,11,11,0,0,0,0,0,0,2.903000000000006,29,0.010000000000005116
839,2017,1,albert_park,alonso,Spanish,mclaren,12,14,0,0,0,0,0,0,3.2369999999999948,35,0.333999999999989
835,2017,1,albert_park,ocon,French,force_india,13,10,0,0,0,0,0,0,3.3799999999999955,20,0.14300000000000068
842,2017,1,albert_park,ericsson,Swedish,sauber,14,18,0,0,0,0,0,0,4.277000000000001,26,0.8970000000000056
837,2017,1,albert_park,giovinazzi,Italian,sauber,16,12,0,0,0,0,0,0,4.2309999999999945,23,-0.04600000000000648
840,2017,1,albert_park,kevin_magnussen,Danish,haas,17,15,0,0,0,0,0,0,4.659000000000006,24,0.4280000000000115
838,2017,1,albert_park,vandoorne,Belgian,mclaren,18,13,0,0,0,0,0,0,4.670000000000002,25,0.01099999999999568
843,2017,1,albert_park,jolyon_palmer,British,renault,19,19,0,0,0,0,0,0,6.055999999999997,26,1.3859999999999957
841,2017,1,albert_park,stroll,Canadian,williams,20,16,0,0,0,0,0,0,4.954999999999998,18,-1.100999999999999
845,2017,2,shanghai,hamilton,British,mercedes,1,1,18,0,2,33,0,2,0.0,32,
846,2017,2,shanghai,vettel,German,ferrari,2,2,25,1,1,37,1,1,0.18600000000000705,29,0.18600000000000705
850,2017,2,shanghai,bottas,Finnish,mercedes,3,6,15,0,3,33,0,2,0.1869999999999976,27,0.000999999999990564
849,2017,2,shanghai,raikkonen,Finnish,ferrari,4,5,12,0,4,37,1,1,0.4620000000000033,37,0.2750000000000057
848,2017,2,shanghai,ricciardo,Australian,red_bull,5,4,0,0,17,10,0,3,1.355000000000004,27,0.8930000000000007
858,2017,2,shanghai,massa,Brazilian,williams,6,14,8,0,6,8,0,4,1.8290000000000077,35,0.47400000000000375
856,2017,2,shanghai,hulkenberg,German,renault,7,12,0,0,11,0,0,7,1.902000000000001,29,0.07299999999999329
853,2017,2,shanghai,perez,Mexican,force_india,8,9,6,0,7,7,0,5,2.028000000000006,27,0.12600000000000477
861,2017,2,shanghai,kvyat,Russian,toro_rosso,9,17,2,0,9,6,0,6,2.040999999999997,22,0.012999999999991019
864,2017,2,shanghai,stroll,Canadian,williams,10,20,0,0,16,8,0,4,2.5420000000000016,18,0.5010000000000048
851,2017,2,shanghai,sainz,Spanish,toro_rosso,11,7,4,0,8,6,0,6,2.4720000000000084,22,-0.06999999999999318
852,2017,2,shanghai,kevin_magnussen,Danish,haas,12,8,0,0,15,0,0,10,2.486000000000004,24,0.013999999999995794
860,2017,2,shanghai,alonso,Spanish,mclaren,13,16,0,0,14,0,0,9,2.6940000000000026,35,0.2079999999999984
859,2017,2,shanghai,ericsson,Swedish,sauber,14,15,0,0,18,0,0,8,3.367999999999995,26,0.6739999999999924
862,2017,2,shanghai,vandoorne,Belgian,mclaren,15,18,0,0,13,0,0,9,3.344999999999999,25,-0.022999999999996135
847,2017,2,shanghai,max_verstappen,Dutch,red_bull,16,3,10,0,5,10,0,3,3.7549999999999955,19,0.4099999999999966
854,2017,2,shanghai,ocon,French,force_india,17,10,1,0,10,7,0,5,3.818000000000012,20,0.0630000000000166
855,2017,2,shanghai,grosjean,French,haas,19,11,0,0,20,0,0,10,3.5450000000000017,30,-0.27300000000001035
857,2017,2,shanghai,jolyon_palmer,British,renault,20,13,0,0,19,0,0,7,3.600999999999999,26,0.055999999999997385
867,2017,3,bahrain,bottas,Finnish,mercedes,1,3,23,0,4,66,1,1,0.0,27,
866,2017,3,bahrain,hamilton,British,mercedes,2,2,43,1,2,66,1,1,0.022999999999996135,32,0.022999999999996135
865,2017,3,bahrain,vettel,German,ferrari,3,1,43,1,1,65,1,2,0.47799999999999443,29,0.4549999999999983
869,2017,3,bahrain,ricciardo,Australian,red_bull,4,5,12,0,6,37,0,3,0.7759999999999962,27,0.2980000000000018
868,2017,3,bahrain,raikkonen,Finnish,ferrari,5,4,22,0,5,65,1,2,0.7980000000000018,37,0.02200000000000557
882,2017,3,bahrain,max_verstappen,Dutch,red_bull,6,18,25,0,3,37,0,3,0.9179999999999922,19,0.11999999999999034
873,2017,3,bahrain,hulkenberg,German,renault,7,9,0,0,13,0,0,8,1.0729999999999933,29,0.15500000000000114
870,2017,3,bahrain,massa,Brazilian,williams,8,6,8,0,8,8,0,6,1.3049999999999926,35,0.23199999999999932
872,2017,3,bahrain,grosjean,French,haas,9,8,0,0,14,4,0,7,1.9939999999999998,30,0.6890000000000072
877,2017,3,bahrain,jolyon_palmer,British,renault,10,13,0,0,17,0,0,8,2.3049999999999926,26,0.31099999999999284
876,2017,3,bahrain,kvyat,Russian,toro_rosso,11,12,2,0,11,12,0,4,2.1539999999999964,22,-0.15099999999999625
881,2017,3,bahrain,stroll,Canadian,williams,12,17,0,0,20,8,0,6,2.399000000000001,18,0.24500000000000455
875,2017,3,bahrain,wehrlein,German,sauber,13,11,0,0,0,0,0,9,2.644999999999996,22,0.2459999999999951
874,2017,3,bahrain,ocon,French,force_india,14,10,2,0,12,10,0,5,2.914999999999992,20,0.269999999999996
880,2017,3,bahrain,sainz,Spanish,toro_rosso,16,16,10,0,7,12,0,4,3.3489999999999895,22,0.4339999999999975
884,2017,3,bahrain,vandoorne,Belgian,mclaren,17,20,0,0,16,0,0,10,3.543999999999997,25,0.1950000000000074
871,2017,3,bahrain,perez,Mexican,force_india,18,7,8,0,9,10,0,5,3.5489999999999924,27,0.0049999999999954525
879,2017,3,bahrain,ericsson,Swedish,sauber,19,15,0,0,18,0,0,9,3.774000000000001,26,0.22500000000000853
883,2017,3,bahrain,kevin_magnussen,Danish,haas,20,19,4,0,10,4,0,7,4.131,24,0.3569999999999993
886,2017,4,sochi,vettel,German,ferrari,1,2,68,2,1,102,2,1,0.0,29,
887,2017,4,sochi,raikkonen,Finnish,ferrari,2,3,34,0,4,102,2,1,0.0589999999999975,37,0.0589999999999975
885,2017,4,sochi,bottas,Finnish,mercedes,3,1,38,0,3,99,1,2,0.09499999999999886,27,0.036000000000001364
888,2017,4,sochi,hamilton,British,mercedes,4,4,61,1,2,99,1,2,0.5729999999999933,32,0.47799999999999443
901,2017,4,sochi,ricciardo,Australian,red_bull,5,17,22,0,6,47,0,3,1.7109999999999985,27,1.1380000000000052
893,2017,4,sochi,massa,Brazilian,williams,6,9,16,0,7,16,0,5,1.9159999999999968,36,0.2049999999999983
889,2017,4,sochi,max_verstappen,Dutch,red_bull,7,5,25,0,5,47,0,3,1.9669999999999987,19,0.05100000000000193
892,2017,4,sochi,hulkenberg,German,renault,8,8,2,0,13,2,0,8,2.090999999999994,29,0.12399999999999523
890,2017,4,sochi,perez,Mexican,force_india,9,6,14,0,8,17,0,4,2.1430000000000007,27,0.05200000000000671
891,2017,4,sochi,ocon,French,force_india,10,7,3,0,12,17,0,4,2.236000000000004,20,0.09300000000000352
895,2017,4,sochi,stroll,Canadian,williams,11,11,0,0,21,16,0,5,2.769999999999996,18,0.5339999999999918
896,2017,4,sochi,kvyat,Russian,toro_rosso,12,12,2,0,14,12,0,6,2.774000000000001,23,0.0040000000000048885
897,2017,4,sochi,kevin_magnussen,Danish,haas,13,13,4,0,11,8,0,7,2.8229999999999933,24,0.04899999999999238
894,2017,4,sochi,sainz,Spanish,toro_rosso,14,10,10,0,9,12,0,6,2.754000000000005,22,-0.0689999999999884
904,2017,4,sochi,alonso,Spanish,mclaren,15,20,0,0,19,0,0,10,3.465999999999994,35,0.7119999999999891
902,2017,4,sochi,jolyon_palmer,British,renault,16,18,0,0,17,2,0,8,3.2680000000000007,26,-0.1979999999999933
900,2017,4,sochi,wehrlein,German,sauber,17,16,0,0,15,0,0,9,4.137999999999991,22,0.8699999999999903
899,2017,4,sochi,ericsson,Swedish,sauber,18,15,0,0,20,0,0,9,4.313000000000002,26,0.17500000000001137
903,2017,4,sochi,grosjean,French,haas,19,19,4,0,10,8,0,7,4.426000000000002,31,0.11299999999999955
898,2017,4,sochi,vandoorne,Belgian,mclaren,20,14,0,0,18,0,0,10,3.8759999999999906,25,-0.5500000000000114
905,2017,5,catalunya,hamilton,British,mercedes,1,1,73,1,2,136,2,1,0.0,32,
906,2017,5,catalunya,vettel,German,ferrari,2,2,86,2,1,135,2,2,0.05100000000000193,29,0.05100000000000193
921,2017,5,catalunya,bottas,Finnish,mercedes,3,17,63,1,3,136,2,1,0.22400000000000375,27,0.17300000000000182
924,2017,5,catalunya,raikkonen,Finnish,ferrari,4,20,49,0,4,135,2,2,0.28999999999999204,37,0.06599999999998829
923,2017,5,catalunya,max_verstappen,Dutch,red_bull,5,19,35,0,5,57,0,3,0.5570000000000022,19,0.2670000000000101
907,2017,5,catalunya,ricciardo,Australian,red_bull,6,3,22,0,6,57,0,3,1.0259999999999962,27,0.4689999999999941
916,2017,5,catalunya,alonso,Spanish,mclaren,7,12,0,0,20,0,0,10,1.899000000000001,35,0.8730000000000047
908,2017,5,catalunya,perez,Mexican,force_india,8,4,22,0,7,31,0,4,1.9209999999999923,27,0.02199999999999136
917,2017,5,catalunya,massa,Brazilian,williams,9,13,18,0,8,18,0,5,2.0829999999999984,36,0.16200000000000614
909,2017,5,catalunya,ocon,French,force_india,10,5,9,0,10,31,0,4,2.1229999999999905,20,0.03999999999999204
918,2017,5,catalunya,kevin_magnussen,Danish,haas,11,14,4,0,13,8,0,7,2.180000000000007,24,0.05700000000001637
911,2017,5,catalunya,sainz,Spanish,toro_rosso,12,7,11,0,9,13,0,6,2.221999999999994,22,0.04199999999998738
910,2017,5,catalunya,hulkenberg,German,renault,13,6,6,0,11,6,0,8,2.2479999999999905,29,0.02599999999999625
914,2017,5,catalunya,grosjean,French,haas,14,10,4,0,12,8,0,7,2.367999999999995,31,0.12000000000000455
912,2017,5,catalunya,wehrlein,German,sauber,15,8,0,0,15,0,0,9,2.6539999999999964,22,0.28600000000000136
915,2017,5,catalunya,ericsson,Swedish,sauber,16,11,0,0,21,0,0,9,3.1829999999999927,26,0.5289999999999964
919,2017,5,catalunya,jolyon_palmer,British,renault,17,15,0,0,18,6,0,8,3.2519999999999953,26,0.06900000000000261
920,2017,5,catalunya,stroll,Canadian,williams,18,16,0,0,16,18,0,5,3.2620000000000005,18,0.010000000000005116
913,2017,5,catalunya,kvyat,Russian,toro_rosso,19,9,2,0,14,13,0,6,3.596999999999994,23,0.33499999999999375
922,2017,5,catalunya,vandoorne,Belgian,mclaren,20,18,0,0,19,0,0,10,3.3829999999999956,25,-0.21399999999999864
926,2017,6,monaco,raikkonen,Finnish,ferrari,1,2,49,0,4,153,2,2,0.0,37,
925,2017,6,monaco,vettel,German,ferrari,2,1,104,2,1,153,2,2,0.043000000000006366,29,0.043000000000006366
928,2017,6,monaco,bottas,Finnish,mercedes,3,4,63,1,3,161,3,1,0.045000000000001705,27,0.001999999999995339
929,2017,6,monaco,max_verstappen,Dutch,red_bull,4,5,35,0,6,72,0,3,0.31799999999999784,19,0.27299999999999613
927,2017,6,monaco,ricciardo,Australian,red_bull,5,3,37,0,5,72,0,3,0.8200000000000074,27,0.5020000000000095
930,2017,6,monaco,sainz,Spanish,toro_rosso,6,6,17,0,10,21,0,5,0.9840000000000089,22,0.16400000000000148
937,2017,6,monaco,perez,Mexican,force_india,7,13,34,0,7,53,0,4,1.1510000000000105,27,0.1670000000000016
932,2017,6,monaco,grosjean,French,haas,8,8,5,0,12,9,0,8,1.1710000000000065,31,0.01999999999999602
938,2017,6,monaco,kvyat,Russian,toro_rosso,9,14,4,0,15,21,0,5,1.338000000000008,23,0.1670000000000016
943,2017,6,monaco,hulkenberg,German,renault,10,20,14,0,11,14,0,7,1.4500000000000028,29,0.11199999999999477
934,2017,6,monaco,kevin_magnussen,Danish,haas,11,10,4,0,14,9,0,8,1.781000000000006,24,0.33100000000000307
931,2017,6,monaco,hamilton,British,mercedes,13,7,98,2,2,161,3,1,1.9279999999999973,32,0.14699999999999136
933,2017,6,monaco,massa,Brazilian,williams,14,9,18,0,9,18,0,6,8.350999999999999,36,6.423000000000002
936,2017,6,monaco,ocon,French,force_india,15,12,19,0,8,53,0,4,1.9230000000000018,20,-6.427999999999997
935,2017,6,monaco,jolyon_palmer,British,renault,16,11,0,0,20,14,0,7,2.5180000000000007,26,0.5949999999999989
939,2017,6,monaco,stroll,Canadian,williams,17,15,0,0,17,18,0,6,2.7150000000000034,18,0.19700000000000273
942,2017,6,monaco,wehrlein,German,sauber,18,19,4,0,13,4,0,9,2.9810000000000088,22,0.26600000000000534
941,2017,6,monaco,ericsson,Swedish,sauber,19,17,0,0,16,4,0,9,3.097999999999999,26,0.11699999999999022
944,2017,7,villeneuve,hamilton,British,mercedes,1,1,104,2,2,179,3,2,0.0,32,
947,2017,7,villeneuve,vettel,German,ferrari,2,4,129,3,1,196,3,1,0.3299999999999983,29,0.3299999999999983
945,2017,7,villeneuve,bottas,Finnish,mercedes,3,2,75,1,3,179,3,2,0.7179999999999893,27,0.387999999999991
950,2017,7,villeneuve,raikkonen,Finnish,ferrari,4,7,67,0,4,196,3,1,0.7929999999999922,37,0.07500000000000284
960,2017,7,villeneuve,max_verstappen,Dutch,red_bull,5,18,45,0,6,97,0,3,0.9440000000000026,19,0.15100000000001046
946,2017,7,villeneuve,ricciardo,Australian,red_bull,6,3,52,0,5,97,0,3,1.097999999999999,27,0.15399999999999636
961,2017,7,villeneuve,massa,Brazilian,williams,7,19,20,0,9,20,0,6,1.399000000000001,36,0.30100000000000193
948,2017,7,villeneuve,perez,Mexican,force_india,8,5,34,0,7,53,0,4,1.5589999999999975,27,0.1599999999999966
949,2017,7,villeneuve,ocon,French,force_india,9,6,19,0,10,53,0,4,1.676000000000002,20,0.11700000000000443
951,2017,7,villeneuve,hulkenberg,German,renault,10,8,14,0,11,14,0,7,1.8119999999999976,29,0.13599999999999568
959,2017,7,villeneuve,kvyat,Russian,toro_rosso,11,17,4,0,15,29,0,5,2.2309999999999945,23,0.41899999999999693
958,2017,7,villeneuve,alonso,Spanish,mclaren,12,16,0,0,19,0,0,10,2.2339999999999947,35,0.0030000000000001137
962,2017,7,villeneuve,sainz,Spanish,toro_rosso,13,20,25,0,8,29,0,5,2.296999999999997,22,0.06300000000000239
953,2017,7,villeneuve,grosjean,French,haas,14,10,9,0,12,14,0,8,2.3799999999999955,31,0.08299999999999841
954,2017,7,villeneuve,jolyon_palmer,British,renault,15,11,0,0,16,14,0,7,2.834000000000003,26,0.45400000000000773
957,2017,7,villeneuve,vandoorne,Belgian,mclaren,16,14,0,0,21,0,0,10,2.722999999999999,25,-0.1110000000000042
952,2017,7,villeneuve,stroll,Canadian,williams,17,9,0,0,18,20,0,6,2.75,18,0.027000000000001023
955,2017,7,villeneuve,kevin_magnussen,Danish,haas,18,12,5,0,13,14,0,8,2.8589999999999947,24,0.10899999999999466
956,2017,7,villeneuve,ericsson,Swedish,sauber,19,13,0,0,17,4,0,9,3.0360000000000014,26,0.1770000000000067
967,2017,8,baku,hamilton,British,mercedes,1,5,129,3,2,222,4,1,0.0,32,
964,2017,8,baku,bottas,Finnish,mercedes,2,2,93,1,3,222,4,1,0.4339999999999975,27,0.4339999999999975
976,2017,8,baku,raikkonen,Finnish,ferrari,3,14,73,0,4,214,3,2,1.0999999999999943,37,0.6659999999999968
966,2017,8,baku,vettel,German,ferrari,4,4,141,3,1,214,3,2,1.2480000000000047,29,0.14800000000001035
980,2017,8,baku,max_verstappen,Dutch,red_bull,5,18,45,0,6,112,0,3,1.2859999999999872,19,0.03799999999998249
977,2017,8,baku,perez,Mexican,force_india,6,15,44,0,7,71,0,4,1.5179999999999865,27,0.23199999999999932
968,2017,8,baku,ocon,French,force_india,7,6,27,0,8,71,0,4,1.5930000000000035,20,0.07500000000001705
965,2017,8,baku,stroll,Canadian,williams,8,3,2,0,16,22,0,6,2.1599999999999966,18,0.5669999999999931
978,2017,8,baku,massa,Brazilian,williams,9,16,20,0,10,22,0,6,2.2049999999999983,36,0.045000000000001705
963,2017,8,baku,ricciardo,Australian,red_bull,10,1,67,0,5,112,0,3,2.820999999999998,27,0.6159999999999997
981,2017,8,baku,kvyat,Russian,toro_rosso,11,19,4,0,15,29,0,5,2.5930000000000035,23,-0.22799999999999443
969,2017,8,baku,kevin_magnussen,Danish,haas,12,7,5,0,13,15,0,8,3.2029999999999887,24,0.6099999999999852
979,2017,8,baku,hulkenberg,German,renault,13,17,18,0,11,18,0,7,3.6739999999999924,29,0.47100000000000364
972,2017,8,baku,wehrlein,German,sauber,14,10,4,0,14,4,0,9,4.010000000000005,22,0.33600000000001273
970,2017,8,baku,sainz,Spanish,toro_rosso,15,8,25,0,9,29,0,5,2.754000000000005,22,-1.2560000000000002
975,2017,8,baku,grosjean,French,haas,16,13,10,0,12,15,0,8,3.875,31,1.1209999999999951
973,2017,8,baku,ericsson,Swedish,sauber,17,11,0,0,18,4,0,9,4.201999999999998,26,0.3269999999999982
974,2017,8,baku,vandoorne,Belgian,mclaren,18,12,0,0,21,0,0,10,4.436999999999998,25,0.23499999999999943
971,2017,8,baku,alonso,Spanish,mclaren,19,9,0,0,19,0,0,10,3.7409999999999997,35,-0.695999999999998
983,2017,9,red_bull_ring,bottas,Finnish,mercedes,1,1,111,1,3,250,4,1,0.0,27,
984,2017,9,red_bull_ring,vettel,German,ferrari,2,2,153,3,1,226,3,2,0.04200000000000159,30,0.04200000000000159
987,2017,9,red_bull_ring,raikkonen,Finnish,ferrari,3,5,73,0,5,226,3,2,0.5279999999999916,37,0.48599999999999
985,2017,9,red_bull_ring,ricciardo,Australian,red_bull,4,3,92,1,4,137,1,3,0.644999999999996,28,0.11700000000000443
1001,2017,9,red_bull_ring,max_verstappen,Dutch,red_bull,5,20,45,0,6,137,1,3,0.7319999999999993,19,0.0870000000000033
988,2017,9,red_bull_ring,grosjean,French,haas,6,6,10,0,14,21,0,7,1.2289999999999992,31,0.4969999999999999
989,2017,9,red_bull_ring,perez,Mexican,force_india,7,7,44,0,7,79,0,4,1.3539999999999992,27,0.125
986,2017,9,red_bull_ring,hamilton,British,mercedes,8,4,139,3,2,250,4,1,0.17300000000000182,32,-1.1809999999999974
990,2017,9,red_bull_ring,ocon,French,force_india,9,8,35,0,8,79,0,4,1.4230000000000018,20,1.25
998,2017,9,red_bull_ring,sainz,Spanish,toro_rosso,10,17,29,0,9,33,0,6,1.4749999999999943,22,0.0519999999999925
995,2017,9,red_bull_ring,hulkenberg,German,renault,11,13,18,0,11,18,0,8,1.3459999999999894,29,-0.1290000000000049
1000,2017,9,red_bull_ring,alonso,Spanish,mclaren,12,19,2,0,17,2,0,10,1.350999999999999,35,0.005000000000009663
994,2017,9,red_bull_ring,vandoorne,Belgian,mclaren,13,12,0,0,20,2,0,10,1.4899999999999949,25,0.1389999999999958
997,2017,9,red_bull_ring,kvyat,Russian,toro_rosso,14,16,4,0,16,33,0,6,1.6329999999999956,23,0.14300000000000068
993,2017,9,red_bull_ring,jolyon_palmer,British,renault,16,11,0,0,18,18,0,8,2.093999999999994,26,0.4609999999999985
991,2017,9,red_bull_ring,massa,Brazilian,williams,17,9,20,0,10,37,0,5,2.2830000000000013,36,0.18900000000000716
992,2017,9,red_bull_ring,stroll,Canadian,williams,18,10,17,0,12,37,0,5,2.3569999999999993,18,0.07399999999999807
996,2017,9,red_bull_ring,ericsson,Swedish,sauber,19,15,0,0,19,5,0,9,2.6059999999999945,26,0.24899999999999523
